BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;"
ja";"
FDP";"
SVP";"
ALGP";"
EVP";"
SP";"
CVP";"
EDU";"
GP";"
glp"
4724;Eschlikon;2006;Münchwilen;2008;;15.3;32.2;;4.6;9.6;15.2;3.7;10.9;8.6
4561;Felben-Wellhausen;2004;Frauenfeld;2008;;8.1;40.3;;10.7;15.4;10.4;4.6;6.3;4.2
4726;Fischingen;2006;Münchwilen;2008;;9.8;36.1;;1;7;29.3;2.2;12.7;2
4566;Frauenfeld;2004;Frauenfeld;2008;;14.9;28.5;;7.6;19;12.7;3.6;8.3;5.4
4571;Gachnang;2004;Frauenfeld;2008;;8.1;38.4;;11;10.5;12.4;4.5;10.7;4.4
4651;Gottlieben;2005;Kreuzlingen;2008;;26.3;31.9;0;4.9;11.9;11.9;0;13.1;
4656;Güttingen;2005;Kreuzlingen;2008;;11.8;46.3;0.1;2.5;9.9;13.3;5.2;10.9;
4486;Hauptwil-Gottshaus;2002;Bischofszell;2008;;11.5;38.8;;4.9;6.5;21.8;10.1;3.4;2.9
4416;Hefenhofen;2001;Arbon;2008;;12;36.3;;6.9;12.9;7.8;6.4;17.8;
4811;Herdern;2007;Steckborn;2008;;11.3;34.8;;2.3;17.8;25.2;1;7.7;
4495;Hohentannen;2002;Bischofszell;2008;;9.8;59.5;;1;5.7;8.9;5.6;6.1;3.4
4816;Homburg;2007;Steckborn;2008;;10.2;57.4;;3.7;4.9;14.6;2.5;6.7;
4421;Horn;2001;Arbon;2008;;17.4;34.7;;3.1;12.3;23.5;1.9;7.1;
4590;Hüttlingen;2004;Frauenfeld;2008;;5;52;;4.4;14;6.1;3.2;9.9;5.6
4821;Hüttwilen;2007;Steckborn;2008;;17.3;39.7;;1.4;12;17.6;2.5;9.5;
4666;Kemmental;2005;Kreuzlingen;2008;;14.6;50.3;1.3;7.7;7.8;6.6;2.1;9.5;
4426;Kesswil;2001;Arbon;2008;;15;33.8;;5.8;8.9;12.4;8.3;15.8;
4501;Kradolf-Schönenberg;2002;Bischofszell;2008;;18.9;36.4;;2.2;13.9;11.1;6;7.5;3.9
4671;Kreuzlingen;2005;Kreuzlingen;2008;;14;28.7;0.5;6.2;20.6;16.8;2;11.1;
4681;Langrickenbach;2005;Kreuzlingen;2008;;8.1;54.5;0.6;3.4;8;8;6.2;11.3;
4683;Lengwil;2005;Kreuzlingen;2008;;11.1;46.7;0.2;4.3;12.2;10.9;5.5;9.1;
4741;Lommis;2006;Münchwilen;2008;;10;47.7;;2.8;6.4;18.8;3.6;5.9;4.8
4826;Mammern;2007;Steckborn;2008;;34.3;34.4;;1.3;3.7;19.8;0.4;6.2;
4941;Märstetten;2008;Weinfelden;2008;2.2;19.6;38;0.2;7.6;9.7;11.9;1.6;9.3;
4591;Matzingen;2004;Frauenfeld;2008;;6.5;40.4;;3.3;22.2;10.9;3.7;8.6;4.3
4831;Müllheim;2007;Steckborn;2008;;13.5;37;;3.9;7.1;23.3;2;13.1;
4746;Münchwilen;2006;Münchwilen;2008;;15.9;35.9;;3.2;6.2;19.1;2.6;12.4;4.8
4691;Münsterlingen;2005;Kreuzlingen;2008;;15.6;28;0.7;3.6;12;9.5;5.1;25.4;
4601;Neunforn;2004;Frauenfeld;2008;;8.4;51.4;;4.2;7.5;5.1;2.5;7.7;13
4841;Pfyn;2007;Steckborn;2008;;8.8;52.5;;3;13.2;9.7;2.9;9.8;
4846;Raperswilen;2007;Steckborn;2008;;7.6;80.5;;1.1;2.1;6.8;0.7;1.3;
4751;Rickenbach;2006;Münchwilen;2008;;32.1;33.4;;2.6;5.5;16.8;1.7;5.2;2.7
4431;Roggwil;2001;Arbon;2008;;10;41.3;;4.3;17.5;12.9;4.7;9.3;
4436;Romanshorn;2001;Arbon;2008;;14.9;28;;5.3;17.8;17.2;4.5;12.2;
4851;Salenstein;2007;Steckborn;2008;;17.4;45.1;;2.4;13.4;12.8;0.1;8.7;
4441;Salmsach;2001;Arbon;2008;;4.2;32.3;;8.3;18.1;12.8;7;17.3;
4546;Schlatt;2003;Diessenhofen;2008;;24.1;50.7;;7.9;13.2;4;;;
4756;Schönholzerswilen;2006;Münchwilen;2008;;4.8;53.9;;4;5.2;20.2;1.5;7.9;2.5
4761;Sirnach;2006;Münchwilen;2008;;10.4;36.4;;4;11.2;22.7;3.8;8.7;2.9
4446;Sommeri;2001;Arbon;2008;;4.5;50.1;;1.1;6.8;11.5;8;18.1;
4864;Steckborn;2007;Steckborn;2008;;17.3;34.9;;2.4;17.8;16;1.1;10.6;
4606;Stettfurt;2004;Frauenfeld;2008;;12.7;40;;2.6;7;19.4;3.2;8.3;6.8
4506;Sulgen;2002;Bischofszell;2008;;17.3;35.2;;1.9;12.4;14.3;5.8;9.1;4.1
4696;Tägerwilen;2005;Kreuzlingen;2008;;14.5;30.5;0.7;9.9;12.2;15.8;2.5;13.9;
4611;Thundorf;2004;Frauenfeld;2008;;7.4;44.6;;6.4;13.9;9.1;3.5;7.3;7.8
4776;Tobel-Tägerschen;2006;Münchwilen;2008;;5.9;46.5;;4.7;3;29.4;3.1;3.4;3.9
4616;Uesslingen-Buch;2004;Frauenfeld;2008;;6.5;53.2;;6.4;6.7;15.6;1.3;5.6;4.7
4451;Uttwil;2001;Arbon;2008;;15.5;40.1;;1.8;13.8;10.4;6.7;11.6;
4871;Wagenhausen;2007;Steckborn;2008;;14.1;50.4;;4.1;11.6;7;4.1;8.7;
4701;Wäldi;2005;Kreuzlingen;2008;;8.5;60.6;0.1;4.8;3.9;4;2.8;15.2;
4781;Wängi;2006;Münchwilen;2008;;8.3;38.9;;2.5;6.2;24.5;4.9;9.4;5.2
4621;Warth-Weiningen;2004;Frauenfeld;2008;;8.6;44.8;;5.4;10.7;13.8;3.3;9.8;3.5
4946;Weinfelden;2008;Weinfelden;2008;4;19.5;29.4;0.3;8;11.3;15.1;3.5;8.8;
4951;Wigoltingen;2008;Weinfelden;2008;2.1;17.2;42.1;0.2;5.9;7.4;9.8;4.4;10.9;
4786;Wilen;2006;Münchwilen;2008;;20.2;29.5;;5.6;8.1;18.7;3.6;11;3.2
4791;Wuppenau;2006;Münchwilen;2008;;3.1;54.7;;3;6.3;19.9;2.8;5;5.2
4511;Zihlschlacht-Sitterdorf;2002;Bischofszell;2008;;13.2;43.5;;2.6;5.2;12.1;17.3;3.8;2.2
